Team ID 1,College,Team Name
2217,"Delhi College of Arts and Commerce, Delhi",Team 2217
2220,"B.K.Birla Institute of Engineering and Technology, Pilani",Team 2220
2224,"GLA institute of technology & management(GLA-ITM) , Mathura",Team 2224
2225,Kalinga Institute of Industrial Technology,Team 2225
2228,"Sreenidhi Institute of Science and Technology, Hyderabad",Team 2228
2229,Galgotias University,Team 2229
2232,"Malla Reddy Engineering College,Hyderabad,AP",Team 2232
2234,C.U.Shah College of Engineering and Technology,Team 2234
2236,"Birla Institute of Technology, Ranchi",Team 2236
2243,"Indian Institute of Management, Tiruchirapally",Team 2243
2244,Kalinga Institute of Industrial Technology,Team 2244
2245,"Indian Institute of Management, Indore",Team 2245
2250,"B.K.Birla Institute of Engineering and Technology, Pilani",Team 2250
2252,Bansal Institute of Science and Technology,Team 2252
2255,"Indian Institute of Technology, Madras",Team 2255
2256,"Government Engineering College, Ajmer",Team 2256
2259,"Birla Institute of Technology, Ranchi",Team 2259
2263,"Institute of Management Technology (IMT), Ghaziabad",Team 2263
2269,Kalinga Institute of Industrial Technology,Team 2269
2271,"Indian School of Mines, Dhanbad",Team 2271
2273,Appa Institute Of Engineering And Technology,Team 2273
2279,"International Institute of Information Technology , Bangalore",Team 2279
2281,"Indian School of Business (ISB), Hyderabad",Team 2281
2287,"Indian School of Business (ISB), Hyderabad",Team 2287
2298,"Indian Institute of Technology, Patna",Team 2298
2303,St. Thomas' College of Engineering & Technology,Team 2303
2304,"Bhilai Institute of Technology, Durg",Team 2304
2306,"B.K.Birla Institute of Engineering and Technology, Pilani",Team 2306
2316,"Zakir Husain College of Engineering and Technology, Aligarh",Team 2316
2318,"Nirma University, Ahmedabad",Team 2318
2319,"Indian Institute of Management, Shillong",Team 2319
2320,"Zakir Husain College of Engineering and Technology, Aligarh",Team 2320
2325,Medicaps Group of Institutions,Team 2325
2331,"National Institute of Technology, Calicut",Team 2331
2332,"Delhi College of Arts and Commerce, Delhi",Team 2332
2334,"Faculty of Management Studies, Delhi",Team 2334
2335,"Vivekananda Institute of Professional Studies, Delhi",Team 2335
2340,"MIT College of Engineering, Pune",Team 2340
2342,Kalinga Institute of Industrial Technology,Team 2342
2344,"Indian Institute of Technology, Madras",Team 2344
2347,"R.V.R & J.C College of Engineering, Guntur",Team 2347
2348,"J.T. Mahajan College of Engineering, Faizpur",Team 2348
2349,"National Institute of Technology, Rourkela",Team 2349
2351,"Dronacharya College of Engineering, Gurgaon",Team 2351
2359,Rathinam Technical Campus,Team 2359
2362,"Christ College, Bangalore",Team 2362
2370,"Hindu College, Delhi",Team 2370
2372,"Maulana Azad National Institute of Technology, Bhopal",Team 2372
2373,"Indian Institute of Technology, Kanpur",Team 2373
2375,Vellore Institute of Technology,Team 2375
