Participant ID,Onward eligibility,Onward Reason,Onward max reimbursment amount,Return eligibility,Return reason,Return max reimbursment amount,Attending,Onward ?,Return ?,Hotel ?
2251,Not Eligible,6719163589,165,Not Eligible,2150635504,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2252,Not Eligible,6719163589,165,Not Eligible,2150635504,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2253,Not Eligible,4455025337,670,Not Eligible,2822716436,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2254,Not Eligible,4455025337,670,Not Eligible,2822716436,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2255,Not Eligible,4455025337,670,Not Eligible,2822716436,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2256,Not Eligible,4455025337,670,Not Eligible,2822716436,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2257,Not Eligible,4455025337,670,Not Eligible,2822716436,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2258,Eligible,Cancelled,410,Eligible,Cancelled,410,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2259,Eligible,Cancelled,410,Eligible,Cancelled,410,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2260,Eligible,Cancelled,410,Eligible,Cancelled,410,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2261,Eligible,Cancelled,410,Eligible,Cancelled,410,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2262,Eligible,Cancelled,410,Eligible,Cancelled,410,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2263,Not Eligible,4601642170,705,Not Eligible,2350437143,705,Attending,Ticket Availed,Ticket Availed,Hotel Required
2264,Not Eligible,Cancelled,770,Not Eligible,Cancelled,770,Not Attending,NA,NA,NA
2265,Not Eligible,4708715363,670,Not Eligible,2613120646,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2266,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,Not Attending,NA,NA,NA
2267,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,Not Attending,NA,NA,NA
2268,Not Eligible,8316748651,255,Not Eligible,2613358440,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2269,Not Eligible,8316748651,255,Not Eligible,2613358440,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2270,Not Eligible,8316748651,255,Not Eligible,2613358440,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2271,Not Eligible,8316748651,255,Not Eligible,2613358440,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2272,Not Eligible,8316748651,255,Not Eligible,2613358440,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2273,Not Eligible,8439026597,165,Eligible,Cancelled,165,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2274,Not Eligible,8439026597,165,Eligible,Cancelled,165,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2275,Not Eligible,8439026597,165,Eligible,Cancelled,165,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2276,Not Eligible,8439026597,165,Eligible,Cancelled,165,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2277,Not Eligible,8439026597,165,Eligible,Cancelled,165,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2278,Eligible,Cancelled,520,Not Eligible,2250599502,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2279,Not Eligible,8503989255,520,Not Eligible,2250599502,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2280,Not Eligible,Cancelled,520,Not Eligible,Cancelled,520,Not Attending,NA,NA,NA
2281,Eligible,Cancelled,520,Not Eligible,2250599502,520,Attending,Ticket Not Availed,Ticket Availed,Hotel Required
2282,Not Eligible,Cancelled,520,Not Eligible,Cancelled,520,Not Attending,NA,NA,NA
2283,Not Eligible,4808808691,575,Not Eligible,2822864236,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2284,Not Eligible,4808808691,575,Not Eligible,2822864236,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2285,Not Eligible,4808808691,575,Not Eligible,2822864236,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2286,Not Eligible,4808808691,575,Not Eligible,2822864236,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2287,Not Eligible,4808808691,575,Not Eligible,2822864236,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2288,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2289,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2290,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2291,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2292,Eligible,Cancelled,520,Eligible,Cancelled,520,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2293,Not Eligible,8616499514,520,Not Eligible,2613281176,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2294,Not Eligible,8616499514,520,Not Eligible,2613281176,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2295,Not Eligible,8616499514,520,Not Eligible,2613281176,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2296,Not Eligible,8616499514,520,Not Eligible,2613281176,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2297,Not Eligible,8616499514,520,Not Eligible,2613281176,520,Attending,Ticket Availed,Ticket Availed,Hotel Required
2298,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
2299,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
2300,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
2301,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
2302,Not Eligible,Cancelled,670,Not Eligible,Cancelled,670,No Response,NA,NA,NA
2303,Not Eligible,8316765359,255,Not Eligible,2250697008,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2304,Not Eligible,8316765359,255,Not Eligible,2250697008,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2305,Not Eligible,8316765359,255,Not Eligible,2250697008,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2306,Not Eligible,8316765359,255,Not Eligible,2250697008,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2307,Not Eligible,8316765359,255,Not Eligible,2250697008,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2308,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2309,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2310,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2311,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2312,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
